Taxes Beds Baths Size Price
3.104 4 2 190.265610048403 279.9
1.173 2 1 84.7276544746793 146.5
3.076 4 2 153.661776865263 237.7
1.608 3 2 192.123672646531 200
1.454 3 3 137.217922871822 159.9
2.997 3 2 292.923568595026 499.9
4.054 3 2 125.883741023235 265.5
3.002 3 2 192.773994555877 289.9
0.32 3 2 107.767630691478 70
0.63 3 2 113.341818485865 64.5
1.78 3 2 157.006289541895 167
1.63 3 2 128.206319270896 114.6
1.53 3 2 147.71597655125 103
0.93 3 1 97.5482864017689 101
0.59 2 1 71.5354100279638 70
1.05 3 2 130.99341316809 85
0.02 3 1 98.4773177008333 22.5
0.87 2 2 120.774068878381 90
1.32 3 2 139.35469485967 133
1.35 2 1 76.1805665232862 90.5
5.616 4 3 366.874460000557 577.5
0.68 2 1 108.696661990542 142.5
1.84 3 2 139.35469485967 160
3.68 4 2 259.199732438986 240
1.66 3 1 95.69022380364 87
1.62 3 2 116.128912383058 118.6
3.1 3 2 163.509508635346 140
